DATUM,AVG(QUOTA)
1973-08-13T00:08:00,384.71
1973-08-20T00:08:00,384.68
1973-08-27T00:08:00,384.72
1973-09-03T00:09:00,384.69
1973-09-10T00:09:00,384.68
1973-09-16T00:09:00,384.68
1973-09-24T00:09:00,384.99
1973-10-02T00:10:00,384.92
1973-10-08T00:10:00,384.78
1973-10-14T00:10:00,384.92
1973-10-22T00:10:00,384.76
1973-10-29T00:10:00,384.65
1973-11-03T00:11:00,384.65
1973-11-11T00:11:00,384.66
1973-11-18T00:11:00,384.62
1973-11-26T00:11:00,384.58
1973-12-03T00:12:00,384.59
1973-12-10T00:12:00,384.57
1973-12-17T00:12:00,384.57
1973-12-24T00:12:00,385.16
1973-12-30T00:12:00,384.67
1975-01-06T00:01:00,384.50
1975-01-12T00:01:00,384.49
1975-01-20T00:01:00,385.05
1975-01-27T00:01:00,384.82
1975-02-02T00:02:00,384.80
1975-02-09T00:02:00,384.71
1975-02-16T00:02:00,384.77
1975-02-23T00:02:00,384.64
1975-03-02T00:03:00,384.58
1975-03-09T00:03:00,384.93
1975-03-16T00:03:00,385.17
1975-03-23T00:03:00,385.04
1975-03-30T00:03:00,384.81
1975-04-06T00:04:00,386.28
1975-04-13T00:04:00,385.36
1975-04-20T00:04:00,385.48
1975-04-27T00:04:00,385.36
1975-05-04T00:05:00,385.04
1975-05-11T00:05:00,385.19
1975-05-18T00:05:00,385.30
1975-05-25T00:05:00,385.41
1975-06-01T00:06:00,385.66
1975-06-08T00:06:00,385.11
1975-06-15T00:06:00,385.42
1975-06-22T00:06:00,385.16
1975-06-29T00:06:00,385.34
1975-07-06T00:07:00,385.38
1975-07-13T00:07:00,385.18
1975-07-20T00:07:00,385.46
1975-07-27T00:07:00,384.78
1975-08-03T00:08:00,384.63
1975-08-11T00:08:00,384.67
1975-08-17T00:08:00,384.60
1975-08-24T00:08:00,384.87
1975-08-31T00:08:00,384.70
1975-09-07T00:09:00,384.78
1975-09-15T00:09:00,386.63
1975-09-21T00:09:00,385.58
1975-09-28T00:09:00,385.04
1975-10-05T00:10:00,385.27
1975-10-12T00:10:00,384.71
1975-10-19T00:10:00,385.00
1975-10-26T00:10:00,384.57
1975-11-03T00:11:00,384.99
1975-11-09T00:11:00,385.03
1975-11-16T00:11:00,384.66
1975-11-24T00:11:00,384.89
1975-11-30T00:11:00,384.68
1975-12-08T00:12:00,384.65
1975-12-14T00:12:00,384.49
1975-12-21T00:12:00,384.49
1975-12-28T00:12:00,384.45
1976-01-04T00:01:00,384.37
1976-01-11T00:01:00,384.32
1976-01-18T00:01:00,383.37
1976-01-25T00:01:00,384.17
1976-02-02T00:02:00,384.22
1976-02-08T00:02:00,384.32
1976-02-15T00:02:00,384.27
1976-02-23T00:02:00,384.25
1976-02-29T00:02:00,384.27
1976-03-07T00:03:00,384.27
1976-03-14T00:03:00,384.14
1976-03-21T00:03:00,384.23
1976-03-28T00:03:00,384.22
1976-04-04T00:04:00,384.28
1976-04-11T00:04:00,384.29
1976-04-19T00:04:00,384.41
1976-04-25T00:04:00,385.33
1976-05-02T00:05:00,384.72
1976-05-09T00:05:00,384.89
1976-05-16T00:05:00,384.70
1976-05-23T00:05:00,384.59
1976-05-30T00:05:00,384.52
1976-06-06T00:06:00,384.48
1976-06-13T00:06:00,384.48
1976-06-20T00:06:00,384.48
1976-06-27T00:06:00,384.52
1976-07-04T00:07:00,384.54
1976-07-11T00:07:00,384.54
1976-07-18T00:07:00,384.59
1976-07-25T00:07:00,384.62
1976-08-01T00:08:00,384.54
1976-08-08T00:08:00,384.50
1976-08-16T00:08:00,384.47
1976-08-22T00:08:00,384.31
1976-08-29T00:08:00,385.35
1976-09-05T00:09:00,384.89
1976-09-12T00:09:00,384.86
1976-09-19T00:09:00,385.37
1976-09-26T00:09:00,384.92
1976-10-03T00:10:00,386.48
1976-10-10T00:10:00,385.07
1976-10-17T00:10:00,385.61
1976-10-24T00:10:00,385.01
1976-10-31T00:10:00,386.22
1976-11-07T00:11:00,386.55
1976-11-14T00:11:00,385.77
1976-11-21T00:11:00,385.07
1976-11-28T00:11:00,384.91
1976-12-05T00:12:00,385.12
1977-01-03T00:01:00,384.84
1977-01-10T00:01:00,384.93
1977-01-17T00:01:00,384.88
1977-01-24T00:01:00,384.83
1977-01-30T00:01:00,384.93
1977-02-06T00:02:00,384.90
1977-02-14T00:02:00,385.03
1977-02-20T00:02:00,384.93
1977-02-27T00:02:00,385.47
1977-03-07T00:03:00,385.26
1977-03-13T00:03:00,385.62
1977-03-20T00:03:00,385.21
1977-03-27T00:03:00,385.84
1977-04-03T00:04:00,385.18
1977-04-11T00:04:00,384.94
1977-04-17T00:04:00,384.91
1977-04-24T00:04:00,385.00
1977-05-01T00:05:00,386.90
1977-05-08T00:05:00,385.64
1977-05-15T00:05:00,385.42
1977-05-22T00:05:00,386.09
1977-05-29T00:05:00,385.27
1977-06-05T00:06:00,385.41
1977-06-12T00:06:00,385.64
1977-06-19T00:06:00,385.51
1977-06-26T00:06:00,385.45
1977-07-03T00:07:00,385.36
1977-07-10T00:07:00,385.35
1977-07-18T00:07:00,385.21
1977-07-25T00:07:00,385.10
1977-08-02T00:08:00,385.87
1977-08-08T00:08:00,385.37
1977-08-16T00:08:00,385.12
1977-08-21T00:08:00,386.13
1977-08-28T00:08:00,385.37
1977-09-04T00:09:00,385.55
1977-09-11T00:09:00,385.08
1977-09-18T00:09:00,384.84
1977-09-25T00:09:00,384.76
1977-10-02T00:10:00,384.72
1977-10-09T00:10:00,386.54
1977-10-16T00:10:00,385.14
1977-10-23T00:10:00,384.72
1977-10-31T00:10:00,385.20
1977-11-06T00:11:00,384.84
1977-11-13T00:11:00,384.77
1977-11-20T00:11:00,384.71
1977-12-04T00:12:00,384.64
1977-12-11T00:12:00,385.06
1977-12-18T00:12:00,384.72
1977-12-26T00:12:00,384.69
1978-01-02T00:01:00,384.63
1978-01-08T00:01:00,384.59
1978-01-22T00:01:00,384.79
1978-02-19T00:02:00,384.62
1978-02-26T00:02:00,385.75
1978-03-05T00:03:00,385.62
1978-03-12T00:03:00,385.51
1978-03-19T00:03:00,385.01
1978-03-27T00:03:00,384.82
1978-04-02T00:04:00,385.16
1978-04-09T00:04:00,384.95
1978-04-16T00:04:00,384.98
1978-04-23T00:04:00,384.84
1978-04-30T00:04:00,385.16
1978-05-07T00:05:00,385.89
1978-05-14T00:05:00,384.86
1978-05-21T00:05:00,385.01
1978-05-28T00:05:00,385.23
1978-06-06T00:06:00,385.20
1978-06-11T00:06:00,385.33
1978-06-17T00:06:00,385.88
1978-06-24T00:06:00,385.27
1978-07-02T00:07:00,384.99
1978-07-09T00:07:00,384.92
1978-07-16T00:07:00,384.95
1978-07-23T00:07:00,384.76
1978-07-30T00:07:00,384.72
1978-08-14T00:08:00,385.33
1978-08-20T00:08:00,385.00
1978-08-28T00:08:00,384.89
1978-09-03T00:09:00,385.04
1978-09-10T00:09:00,384.92
1978-09-17T00:09:00,384.98
1978-09-24T00:09:00,384.98
1978-10-01T00:10:00,384.95
1978-10-08T00:10:00,384.99
1978-10-15T00:10:00,384.96
1978-10-22T00:10:00,385.25
1978-10-29T00:10:00,385.08
1978-11-05T00:11:00,384.98
1978-11-13T00:11:00,384.98
1978-11-19T00:11:00,384.94
1978-11-25T00:11:00,385.06
1978-12-03T00:12:00,385.04
1979-01-07T00:01:00,385.04
1979-02-04T00:02:00,384.97
1979-03-04T00:03:00,385.06
1979-04-08T00:04:00,385.37
1979-05-06T00:05:00,385.38
1979-06-03T00:06:00,385.64
1979-07-08T00:07:00,385.03
1979-08-12T00:08:00,384.98
1979-09-02T00:09:00,384.81
1979-11-04T00:11:00,385.20
1979-12-02T00:12:00,384.79
1995-07-13T00:07:00,384.60
1995-09-08T00:09:00,385.11
1995-11-16T00:11:00,384.85
2001-10-30T17:10:00,384.45
2001-10-30T18:10:00,384.46
2001-10-30T19:10:00,384.47
2001-10-30T20:10:00,384.47
2001-10-30T21:10:00,384.47
2001-10-30T22:10:00,384.47
2001-10-30T23:10:00,384.47
2001-10-31T00:10:00,384.47
2001-10-31T01:10:00,384.48
2001-10-31T02:10:00,384.48
2001-10-31T03:10:00,384.48
2001-10-31T04:10:00,384.48
2001-10-31T05:10:00,384.47
2001-10-31T06:10:00,384.47
2001-10-31T07:10:00,384.47
2001-10-31T08:10:00,384.45
2001-10-31T09:10:00,384.44
2001-10-31T10:10:00,384.42
2001-10-31T11:10:00,384.43
2001-10-31T12:10:00,384.42
2001-10-31T13:10:00,384.43
2001-10-31T14:10:00,384.43
2001-10-31T15:10:00,384.42
2001-10-31T16:10:00,384.43
2001-10-31T17:10:00,384.45
2001-10-31T18:10:00,384.46
2001-10-31T19:10:00,384.46
2001-10-31T20:10:00,384.46
2001-10-31T21:10:00,384.46
2001-10-31T22:10:00,384.46
2001-10-31T23:10:00,384.46
2001-11-01T00:11:00,384.46
2001-11-01T01:11:00,384.46
2001-11-01T02:11:00,384.46
2001-11-01T03:11:00,384.46
2001-11-01T04:11:00,384.46
2001-11-01T05:11:00,384.46
2001-11-01T06:11:00,384.46
2001-11-01T07:11:00,384.46
2001-11-01T08:11:00,384.46
2001-11-01T09:11:00,384.46
2001-11-01T10:11:00,384.46
2001-11-01T11:11:00,384.46
2001-11-01T12:11:00,384.46
2001-11-01T13:11:00,384.45
2001-11-01T14:11:00,384.45
2001-11-01T15:11:00,384.45
2001-11-01T16:11:00,384.45
2001-11-01T17:11:00,384.45
2001-11-01T18:11:00,384.45
2001-11-01T19:11:00,384.45
2001-11-01T20:11:00,384.45
2001-11-01T21:11:00,384.45
2001-11-01T22:11:00,384.45
2001-11-01T23:11:00,384.45
2001-11-02T00:11:00,384.45
2001-11-02T01:11:00,384.45
2001-11-02T02:11:00,384.45
2001-11-02T03:11:00,384.45
2001-11-02T04:11:00,384.45
2001-11-02T05:11:00,384.45
2001-11-02T06:11:00,384.45
2001-11-02T07:11:00,384.45
2001-11-02T08:11:00,384.44
2001-11-02T09:11:00,384.45
2001-11-02T10:11:00,384.44
2001-11-02T11:11:00,384.44
2001-11-02T12:11:00,384.44
2001-11-02T13:11:00,384.44
2001-11-02T14:11:00,384.44
2001-11-02T15:11:00,384.44
2001-11-02T16:11:00,384.44
2001-11-02T17:11:00,384.44
2001-11-02T18:11:00,384.44
2001-11-02T19:11:00,384.44
2001-11-02T20:11:00,384.44
2001-11-02T21:11:00,384.44
2001-11-02T22:11:00,384.44
2001-11-02T23:11:00,384.44
2001-11-03T00:11:00,384.44
2001-11-03T01:11:00,384.44
2001-11-03T02:11:00,384.44
2001-11-03T03:11:00,384.44
2001-11-03T04:11:00,384.44
2001-11-03T05:11:00,384.43
2001-11-03T06:11:00,384.43
2001-11-03T07:11:00,384.43
2001-11-03T08:11:00,384.43
2001-11-03T09:11:00,384.43
2001-11-03T10:11:00,384.43
2001-11-03T11:11:00,384.43
2001-11-03T12:11:00,384.43
2001-11-03T13:11:00,384.43
2001-11-03T14:11:00,384.43
2001-11-03T15:11:00,384.43
2001-11-03T16:11:00,384.43
2001-11-03T17:11:00,384.43
2001-11-03T18:11:00,384.43
2001-11-03T19:11:00,384.43
2001-11-03T20:11:00,384.43
2001-11-03T21:11:00,384.43
2001-11-03T22:11:00,384.43
2001-11-03T23:11:00,384.43
2001-11-04T00:11:00,384.43
2001-11-04T01:11:00,384.43
2001-11-04T02:11:00,384.43
2001-11-04T03:11:00,384.43
2001-11-04T04:11:00,384.43
2001-11-04T05:11:00,384.43
2001-11-04T06:11:00,384.43
2001-11-04T07:11:00,384.43
2001-11-04T08:11:00,384.43
2001-11-04T09:11:00,384.42
2001-11-04T10:11:00,384.43
2001-11-04T11:11:00,384.43
2001-11-04T12:11:00,384.43
2001-11-04T13:11:00,384.42
2001-11-04T14:11:00,384.42
2001-11-04T15:11:00,384.42
2001-11-04T16:11:00,384.42
2001-11-04T17:11:00,384.42
2001-11-04T18:11:00,384.42
2001-11-04T19:11:00,384.42
2001-11-04T20:11:00,384.42
2001-11-04T21:11:00,384.42
2001-11-04T22:11:00,384.42
2001-11-04T23:11:00,384.42
2001-11-05T00:11:00,384.42
2001-11-05T01:11:00,384.42
2001-11-05T02:11:00,384.42
2001-11-05T03:11:00,384.42
2001-11-05T04:11:00,384.42
2001-11-05T05:11:00,384.42
2001-11-05T06:11:00,384.42
2001-11-05T07:11:00,384.42
2001-11-05T08:11:00,384.38
2001-11-05T09:11:00,384.39
2001-11-05T10:11:00,384.39
2001-11-05T11:11:00,384.37
2001-11-05T12:11:00,384.37
2001-11-05T13:11:00,384.38
2001-11-05T14:11:00,384.37
2001-11-05T15:11:00,384.36
2001-11-05T16:11:00,384.37
2001-11-05T17:11:00,384.39
2001-11-05T18:11:00,384.39
2001-11-05T19:11:00,384.39
2001-11-05T20:11:00,384.40
2001-11-05T21:11:00,384.41
2001-11-05T22:11:00,384.41
2001-11-05T23:11:00,384.41
2001-11-06T00:11:00,384.41
2001-11-06T01:11:00,384.41
2001-11-06T02:11:00,384.41
2001-11-06T03:11:00,384.41
2001-11-06T04:11:00,384.41
2001-11-06T05:11:00,384.41
2001-11-06T06:11:00,384.41
2001-11-06T07:11:00,384.41
2001-11-06T08:11:00,384.40
2001-11-06T09:11:00,384.37
2001-11-06T10:11:00,384.36
2001-11-06T11:11:00,384.36
2001-11-06T12:11:00,384.36
2001-11-06T13:11:00,384.37
2001-11-06T14:11:00,384.36
2001-11-06T15:11:00,384.36
2001-11-06T16:11:00,384.35
2001-11-06T17:11:00,384.36
2001-11-06T18:11:00,384.36
2001-11-06T19:11:00,384.39
2001-11-06T20:11:00,384.39
2001-11-06T21:11:00,384.39
2001-11-06T22:11:00,384.40
2001-11-06T23:11:00,384.40
2001-11-07T00:11:00,384.40
2001-11-07T01:11:00,384.40
2001-11-07T02:11:00,384.40
2001-11-07T03:11:00,384.40
2001-11-07T04:11:00,384.40
2001-11-07T05:11:00,384.40
2001-11-07T06:11:00,384.40
2001-11-07T07:11:00,384.40
2001-11-07T08:11:00,384.38
2001-11-07T09:11:00,384.36
2001-11-07T10:11:00,384.37
2001-11-07T11:11:00,384.35
2001-11-07T12:11:00,384.36
2001-11-07T13:11:00,384.37
2001-11-07T14:11:00,384.36
2001-11-07T15:11:00,384.35
2001-11-07T16:11:00,384.36
2001-11-07T17:11:00,384.37
2001-11-07T18:11:00,384.38
2001-11-07T19:11:00,384.38
2001-11-07T20:11:00,384.39
2001-11-07T21:11:00,384.39
2001-11-07T22:11:00,384.39
2001-11-07T23:11:00,384.39
2001-11-08T00:11:00,384.39
2001-11-08T01:11:00,384.39
2001-11-08T02:11:00,384.39
2001-11-08T03:11:00,384.39
2001-11-08T04:11:00,384.39
2001-11-08T05:11:00,384.39
2001-11-08T06:11:00,384.39
2001-11-08T07:11:00,384.39
2001-11-08T08:11:00,384.36
2001-11-08T09:11:00,384.35
2001-11-08T10:11:00,384.36
2001-11-08T11:11:00,384.36
2001-11-08T12:11:00,384.37
2001-11-08T13:11:00,384.38
2001-11-08T14:11:00,384.35
2001-11-08T15:11:00,384.35
2001-11-08T16:11:00,384.34
2001-11-08T17:11:00,384.34
2001-11-08T18:11:00,384.36
2001-11-08T19:11:00,384.36
2001-11-08T20:11:00,384.37
2001-11-08T21:11:00,384.38
2001-11-08T22:11:00,384.38
2001-11-08T23:11:00,384.38
2001-11-09T00:11:00,384.38
2001-11-09T01:11:00,384.38
2001-11-09T02:11:00,384.38
2001-11-09T03:11:00,384.38
2001-11-09T04:11:00,384.38
2001-11-09T05:11:00,384.38
2001-11-09T06:11:00,384.38
2001-11-09T07:11:00,384.38
2001-11-09T08:11:00,384.35
2001-11-09T09:11:00,384.35
2001-11-09T10:11:00,384.35
2001-11-09T11:11:00,384.34
2001-11-09T12:11:00,384.34
2001-11-09T13:11:00,384.36
2001-11-09T14:11:00,384.35
2001-11-09T15:11:00,384.34
2001-11-09T16:11:00,384.35
2001-11-09T17:11:00,384.37
2001-11-09T18:11:00,384.38
2001-11-09T19:11:00,384.38
2001-11-09T20:11:00,384.38
2001-11-09T21:11:00,384.38
2001-11-09T22:11:00,384.39
2001-11-09T23:11:00,384.39
2001-11-10T00:11:00,384.39
2001-11-10T01:11:00,384.39
2001-11-10T02:11:00,384.39
2001-11-10T03:11:00,384.39
2001-11-10T04:11:00,384.39
2001-11-10T05:11:00,384.39
2001-11-10T06:11:00,384.39
2001-11-10T07:11:00,384.39
2001-11-10T08:11:00,384.39
2001-11-10T09:11:00,384.39
2001-11-10T10:11:00,384.39
2001-11-10T11:11:00,384.39
2001-11-10T12:11:00,384.39
2001-11-10T13:11:00,384.39
2001-11-10T14:11:00,384.39
2001-11-10T15:11:00,384.38
2001-11-10T16:11:00,384.38
2001-11-10T17:11:00,384.38
2001-11-10T18:11:00,384.38
2001-11-10T19:11:00,384.38
2001-11-10T20:11:00,384.38
2001-11-10T21:11:00,384.38
2001-11-10T22:11:00,384.38
2001-11-10T23:11:00,384.38
2001-11-11T00:11:00,384.38
2001-11-11T01:11:00,384.38
2001-11-11T02:11:00,384.38
2001-11-11T03:11:00,384.38
2001-11-11T04:11:00,384.38
2001-11-11T05:11:00,384.38
2001-11-11T06:11:00,384.38
2001-11-11T07:11:00,384.38
2001-11-11T08:11:00,384.38
2001-11-11T09:11:00,384.38
2001-11-11T10:11:00,384.38
2001-11-11T11:11:00,384.38
2001-11-11T12:11:00,384.38
2001-11-11T13:11:00,384.38
2001-11-11T14:11:00,384.38
2001-11-11T15:11:00,384.38
2001-11-11T16:11:00,384.38
2001-11-11T17:11:00,384.38
2001-11-11T18:11:00,384.38
2001-11-11T19:11:00,384.38
2001-11-11T20:11:00,384.38
2001-11-11T21:11:00,384.38
2001-11-11T22:11:00,384.38
2001-11-11T23:11:00,384.38
2001-11-12T00:11:00,384.38
2001-11-12T01:11:00,384.38
2001-11-12T02:11:00,384.38
2001-11-12T03:11:00,384.38
2001-11-12T04:11:00,384.38
2001-11-12T05:11:00,384.38
2001-11-12T06:11:00,384.38
2001-11-12T07:11:00,384.38
2001-11-12T08:11:00,384.36
2001-11-12T09:11:00,384.34
2001-11-12T10:11:00,384.33
2001-11-12T11:11:00,384.34
2001-11-12T12:11:00,384.34
2001-11-12T13:11:00,384.36
2001-11-12T14:11:00,384.35
2001-11-12T15:11:00,384.33
2001-11-12T16:11:00,384.33
2001-11-12T17:11:00,384.33
2001-11-12T18:11:00,384.33
2001-11-12T19:11:00,384.34
2001-11-12T20:11:00,384.35
2001-11-12T21:11:00,384.35
2001-11-12T22:11:00,384.35
2001-11-12T23:11:00,384.35
2001-11-13T00:11:00,384.37
2001-11-13T01:11:00,384.37
2001-11-13T02:11:00,384.37
2001-11-13T03:11:00,384.37
2001-11-13T04:11:00,384.37
2001-11-13T05:11:00,384.37
2001-11-13T06:11:00,384.37
2001-11-13T07:11:00,384.37
2001-11-13T08:11:00,384.34
2001-11-13T09:11:00,384.34
2001-11-13T10:11:00,384.33
2001-11-13T11:11:00,384.33
2001-11-13T12:11:00,384.33
2001-11-13T13:11:00,384.36
2001-11-13T14:11:00,384.33
2001-11-13T15:11:00,384.34
2001-11-13T16:11:00,384.33
2001-11-13T17:11:00,384.34
2001-11-13T18:11:00,384.35
2001-11-13T19:11:00,384.35
2001-11-13T20:11:00,384.36
2001-11-13T21:11:00,384.37
2001-11-13T22:11:00,384.37
2001-11-13T23:11:00,384.37
2001-11-14T00:11:00,384.37
2001-11-14T01:11:00,384.37
2001-11-14T02:11:00,384.37
2001-11-14T03:11:00,384.37
2001-11-14T04:11:00,384.37
2001-11-14T05:11:00,384.38
2001-11-14T06:11:00,384.38
2001-11-14T07:11:00,384.38
2001-11-14T08:11:00,384.34
2001-11-14T09:11:00,384.33
2001-11-14T10:11:00,384.33
2001-11-14T11:11:00,384.32
2001-11-14T12:11:00,384.33
2001-11-14T13:11:00,384.35
2001-11-14T14:11:00,384.34
2001-11-14T15:11:00,384.33
2001-11-14T16:11:00,384.33
2001-11-14T17:11:00,384.33
2001-11-14T18:11:00,384.34
2001-11-14T19:11:00,384.34
2001-11-14T20:11:00,384.34
2001-11-14T21:11:00,384.35
2001-11-14T22:11:00,384.36
2001-11-14T23:11:00,384.36
2001-11-15T00:11:00,384.36
2001-11-15T01:11:00,384.36
2001-11-15T02:11:00,384.36
2001-11-15T03:11:00,384.36
2001-11-15T04:11:00,384.36
2001-11-15T05:11:00,384.36
2001-11-15T06:11:00,384.36
2001-11-15T07:11:00,384.36
2001-11-15T08:11:00,384.33
2001-11-15T09:11:00,384.32
2001-11-15T10:11:00,384.33
2001-11-15T11:11:00,384.33
2001-11-15T12:11:00,384.32
2001-11-15T13:11:00,384.32
2001-11-15T14:11:00,384.32
2001-11-15T15:11:00,384.33
2001-11-15T16:11:00,384.32
2001-11-15T17:11:00,384.33
2001-11-15T18:11:00,384.33
2001-11-15T19:11:00,384.34
2001-11-15T20:11:00,384.34
2001-11-15T21:11:00,384.35
2001-11-15T22:11:00,384.35
2001-11-15T23:11:00,384.36
2001-11-16T00:11:00,384.36
2001-11-16T01:11:00,384.36
2001-11-16T02:11:00,384.36
2001-11-16T03:11:00,384.36
2001-11-16T04:11:00,384.36
2001-11-16T05:11:00,384.36
2001-11-16T06:11:00,384.36
2001-11-16T07:11:00,384.36
2001-11-16T08:11:00,384.34
2001-11-16T09:11:00,384.32
2001-11-16T10:11:00,384.32
2001-11-16T11:11:00,384.32
2001-11-16T12:11:00,384.32
2001-11-16T13:11:00,384.33
2001-11-16T14:11:00,384.34
2001-11-16T15:11:00,384.33
2001-11-16T16:11:00,384.33
2001-11-16T17:11:00,384.35
2001-11-16T18:11:00,384.35
2001-11-16T19:11:00,384.35
2001-11-16T20:11:00,384.35
2001-11-16T21:11:00,384.35
2001-11-16T22:11:00,384.35
2001-11-16T23:11:00,384.36
2001-11-17T00:11:00,384.36
2001-11-17T01:11:00,384.36
2001-11-17T02:11:00,384.36
2001-11-17T03:11:00,384.36
2001-11-17T04:11:00,384.36
2001-11-17T05:11:00,384.36
2001-11-17T06:11:00,384.36
2001-11-17T07:11:00,384.36
2001-11-17T08:11:00,384.36
2001-11-17T09:11:00,384.36
2001-11-17T10:11:00,384.36
2001-11-17T11:11:00,384.36
2001-11-17T12:11:00,384.35
2001-11-17T13:11:00,384.35
2001-11-17T14:11:00,384.35
2001-11-17T15:11:00,384.35
2001-11-17T16:11:00,384.35
2001-11-17T17:11:00,384.35
2001-11-17T18:11:00,384.35
2001-11-17T19:11:00,384.35
2001-11-17T20:11:00,384.35
2001-11-17T21:11:00,384.35
2001-11-17T22:11:00,384.35
2001-11-17T23:11:00,384.35
2001-11-18T00:11:00,384.35
2001-11-18T01:11:00,384.35
2001-11-18T02:11:00,384.35
2001-11-18T03:11:00,384.35
2001-11-18T04:11:00,384.35
2001-11-18T05:11:00,384.35
2001-11-18T06:11:00,384.35
2001-11-18T07:11:00,384.35
2001-11-18T08:11:00,384.35
2001-11-18T09:11:00,384.35
2001-11-18T10:11:00,384.35
2001-11-18T11:11:00,384.35
2001-11-18T12:11:00,384.35
2001-11-18T13:11:00,384.35
2001-11-18T14:11:00,384.35
2001-11-18T15:11:00,384.35
2001-11-18T16:11:00,384.35
2001-11-18T17:11:00,384.35
